2,4468161
3,4024533
4,3861917
5,3468804
6,3298461
7,2999886
8,2694862
9,2512230
10,2257178
11,2085862
12,2042516
13,1902674
14,1822405
15,1691035
16,1626594
17,1532383
18,1497636
19,1423432
20,1377978
21,1305665
22,1271845
23,1230839
24,1169859
25,1125724
26,1095986
27,1049147
28,1037525
29,994421
30,965642
31,919188
32,915282
33,884236
34,873370
35,851055
36,837158
37,808577
38,803961
39,780100
40,764988
41,755301
42,746627
43,731228
44,723992
45,717745
46,710101
47,702329
48,687457
49,682414
50,678162
